Semestre,Campus | Prog.,Programa-Relacionado,Cohorte,Código-Gr,Nombre Materia,Resumen horarios,Resumen de fechas
2026-2,Apartado,Especial,2026-1,2059005-80,Teorías curriculares y contextos educativos,S14-19 - D7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 15 ago ▶️  🔸 dom 16 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 30 ago ▶️  🔸 vie 14 ago ▶️ ATM 🔸 vie 21 ago ▶️ ATM 🔸 vie 28 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸 vie 04 sept ▶️ ATM 🔸  

"
2026-2,Apartado,Especial,2026-1,2018025-80,"Relaciones entre desarrollo, educación y aprendizaje II",D7-12 - S14-19 - V7-12,"📅Noviembre: dom 01 nov ▶️  🔸 dom 08 nov ▶️  🔸 dom 15 nov ▶️  🔸 dom 22 nov ▶️  🔸 sáb 28 nov ▶️  🔸 dom 29 nov ▶️  🔸 vie 06 nov ▶️ ATM 🔸 vie 13 nov ▶️ ATM 🔸 vie 20 nov ▶️ ATM 🔸 vie 27 nov ▶️ ATM 🔸  

📅Diciembre: dom 06 dic ▶️  🔸 "
2026-2,Apartado,Lengua Castellana y Literatura,2025-2,2094302-80,Teorías literarias II,W7-11 -  - L15-19,"📅Agosto: mié 05 ago ▶️  🔸 mié 12 ago ▶️  🔸 mié 19 ago ▶️  🔸 mié 26 ago ▶️  🔸 lun 31 ago ▶️ ATM 🔸  

📅Septiembre: mié 02 sept ▶️  🔸 mié 09 sept ▶️  🔸 mié 23 sept ▶️  🔸 mié 30 sept ▶️  🔸 mié 16 sept ▶️  🔸 lun 21 sept ▶️ ATM 🔸  

📅Octubre: mié 07 oct ▶️  🔸 mié 14 oct ▶️  🔸 mié 21 oct ▶️  🔸 mié 28 oct ▶️  🔸 lun 05 oct ▶️ ATM 🔸  

📅Noviembre: mié 04 nov ▶️  🔸 lun 09 nov ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2025-2,2059007-81,"Didácticas, saberes y evaluación",J7-15 -  - J7-11,"📅Agosto: jue 06 ago ▶️  🔸 jue 13 ago ▶️  🔸 jue 20 ago ▶️ AMT 🔸 jue 27 ago ▶️  🔸  

📅Septiembre: jue 03 sept ▶️ AMT 🔸 jue 10 sept ▶️  🔸 jue 24 sept ▶️  🔸  

📅Octubre: jue 01 oct ▶️ ATM 🔸 jue 08 oct ▶️  🔸 jue 15 oct ▶️  🔸 jue 22 oct ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2025-2,2094303-80,Literaturas griega y latina,M11-19 -  - J11-15,"📅Agosto: mar 11 ago ▶️  🔸 mar 25 ago ▶️  🔸  

📅Septiembre: mar 22 sept ▶️  🔸 jue 17 sept ▶️ ATM 🔸  

📅Octubre: mar 06 oct ▶️  🔸 mar 20 oct ▶️  🔸 mar 27 oct ▶️  🔸 jue 01 oct ▶️ ATM 🔸 jue 29 oct ▶️ ATM 🔸  

📅Noviembre: mar 03 nov ▶️  🔸 jue 05 nov ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2025-2,2094301-80,Práctica Pedagógica III,M7-15 -  - W11-15,"📅Agosto: mar 04 ago ▶️  🔸 mar 18 ago ▶️  🔸 mié 26 ago ▶️ ATM 🔸  

📅Septiembre: mar 01 sept ▶️  🔸 mar 15 sept ▶️  🔸 mar 29 sept ▶️  🔸 mié 09 sept ▶️ ATM 🔸 mié 23 sept ▶️ ATM 🔸  

📅Octubre: mar 13 oct ▶️  🔸 mié 07 oct ▶️ ATM 🔸 mié 28 oct ▶️ ATM 🔸  

"
2026-2,Apartado,Lengua Castellana y Literatura,2025-2,2094404-80,Sintaxis,L7-15 -  - L7-11,"📅Agosto: lun 03 ago ▶️  🔸 lun 10 ago ▶️  🔸 lun 24 ago ▶️  🔸 lun 31 ago ▶️ AMT 🔸  

📅Septiembre: lun 07 sept ▶️  🔸 lun 14 sept ▶️  🔸 lun 21 sept ▶️ AMT 🔸 lun 28 sept ▶️  🔸  

📅Octubre: lun 05 oct ▶️ AMT 🔸 lun 19 oct ▶️  🔸 lun 26 oct ▶️ AMT 🔸  

"
2026-2,Apartado,Especial,2025-1,2018041-80,Educación y discapacidad Intelectual,S14-19 -  - D14-19,"📅Septiembre: sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸 dom 13 sept ▶️ ATM 🔸 dom 20 sept ▶️ ATM 🔸 dom 27 sept ▶️ ATM 🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: sáb 07 nov ▶️  🔸 sáb 14 nov ▶️  🔸 sáb 21 nov ▶️  🔸  

"
2026-2,Apartado,Especial,2025-1,2018043-80,Educación y déficit de atención con o sin hiperactividad,D7-12 -  - V7-12,"📅Septiembre: dom 13 sept ▶️  🔸 dom 20 sept ▶️  🔸 dom 27 sept ▶️  🔸  

📅Octubre: dom 04 oct ▶️  🔸 dom 11 oct ▶️  🔸 dom 18 oct ▶️  🔸 dom 25 oct ▶️  🔸 vie 02 oct ▶️ ATM 🔸 vie 09 oct ▶️ ATM 🔸 vie 16 oct ▶️ ATM 🔸  

📅Noviembre: dom 01 nov ▶️  🔸 dom 08 nov ▶️  🔸 dom 15 nov ▶️  🔸 dom 22 nov ▶️  🔸  

"
2026-2,Apartado,Especial,2025-1,2018042-80,Didáctica y educación especial,S14-19 - D7-12 - V7-12,"📅Agosto: sáb 08 ago ▶️  🔸 dom 09 ago ▶️  🔸 sáb 15 ago ▶️  🔸 dom 16 ago ▶️  🔸 sáb 22 ago ▶️  🔸 dom 23 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 30 ago ▶️  🔸 vie 14 ago ▶️ ATM 🔸 vie 21 ago ▶️ ATM 🔸 vie 28 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 dom 06 sept ▶️  🔸 vie 04 sept ▶️ ATM 🔸  

"
2026-2,Apartado,Especial,2025-1,2018040-80,Artes y su didáctica,V14-19 -  - D14-19,"📅Agosto: vie 14 ago ▶️  🔸 vie 21 ago ▶️  🔸 vie 28 ago ▶️  🔸 dom 23 ago ▶️ ATM 🔸 dom 30 ago ▶️ ATM 🔸  

📅Septiembre: vie 04 sept ▶️  🔸 vie 11 sept ▶️  🔸 vie 18 sept ▶️  🔸 vie 25 sept ▶️  🔸 dom 06 sept ▶️ ATM 🔸  

📅Octubre: vie 02 oct ▶️  🔸 vie 09 oct ▶️  🔸 vie 16 oct ▶️  🔸 vie 23 oct ▶️  🔸  

"
2026-2,Apartado,Especial,2025-1,2018044-80,Práctica pedagógica IV,S7-12 -  - D14-19,"📅Agosto: sáb 08 ago ▶️  🔸 sáb 15 ago ▶️  🔸 sáb 22 ago ▶️  🔸 sáb 29 ago ▶️  🔸 dom 09 ago ▶️ ATM 🔸 dom 16 ago ▶️ ATM 🔸  

📅Septiembre: sáb 05 sept ▶️  🔸 sáb 12 sept ▶️  🔸 sáb 19 sept ▶️  🔸 sáb 26 sept ▶️  🔸  

📅Octubre: sáb 03 oct ▶️  🔸 sáb 10 oct ▶️  🔸 sáb 17 oct ▶️  🔸 sáb 24 oct ▶️  🔸 sáb 31 oct ▶️  🔸  

📅Noviembre: sáb 07 nov ▶️  🔸  

"
2026-2,Carmen de Viboral,Ruralidad y Paz,2026-2,2043006-30,Español Académico,V9-17,"📅Agosto: vie 21 ago ▶️ Pre 🔸 vie 28 ago ▶️ AMT 🔸  

📅Septiembre: vie 18 sept ▶️ Pre 🔸 vie 25 sept ▶️ AMT 🔸  

📅Octubre: vie 16 oct ▶️ Pre 🔸 vie 23 oct ▶️ AMT 🔸  

📅Noviembre: vie 13 nov ▶️ Pre 🔸 vie 20 nov ▶️ AMT 🔸  

"
2026-2,Carmen de Viboral,Ruralidad y Paz,2026-2,2043004-30,El Buen Vivir: Vivir Bien en el Territorio y la Comunidad,V9-17,"📅Septiembre: vie 04 sept ▶️ Pre 🔸 vie 11 sept ▶️ AMT 🔸  

📅Octubre: vie 02 oct ▶️ Pre 🔸 vie 09 oct ▶️ AMT 🔸 vie 30 oct ▶️ Pre 🔸  

📅Noviembre: vie 06 nov ▶️ AMT 🔸 vie 20 nov ▶️ AMT 🔸 vie 27 nov ▶️ Pre 🔸  

"
2026-2,Carmen de Viboral,Ruralidad y Paz,2026-2,2043003-30,"Lo Rural, las Ruralidades y las Poblaciones Rurales",S8-16,"📅Agosto: sáb 22 ago ▶️ Pre 🔸 sáb 29 ago ▶️ AMT 🔸  

📅Septiembre: sáb 19 sept ▶️ Pre 🔸 sáb 26 sept ▶️ AMT 🔸  

📅Octubre: sáb 17 oct ▶️ Pre 🔸 sáb 24 oct ▶️ AMT 🔸  

📅Noviembre: sáb 14 nov ▶️ Pre 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ AMT 🔸  

"
2026-2,Carmen de Viboral,Ruralidad y Paz,2026-2,2043002-30,"Tierra, Territorio y Ecosistemas de las Comunidades Rurales",S8-16,"📅Septiembre: sáb 05 sept ▶️ Pre 🔸 sáb 12 sept ▶️ AMT 🔸  

📅Octubre: sáb 03 oct ▶️ Pre 🔸 sáb 10 oct ▶️ AMT 🔸 sáb 31 oct ▶️ Pre 🔸  

📅Noviembre: sáb 07 nov ▶️ AMT 🔸 sáb 14 nov ▶️ AMT 🔸 sáb 21 nov ▶️ AMT 🔸 sáb 28 nov ▶️ Pre 🔸  

"
2026-2,Carmen de Viboral,Ruralidad y Paz,2026-2,2043001-30,Cartografía Social y Territorial,D7-15,"📅Septiembre: dom 06 sept ▶️ Pre 🔸 dom 13 sept ▶️ AMT 🔸  

📅Octubre: dom 04 oct ▶️ Pre 🔸 dom 11 oct ▶️ AMT 🔸  

📅Noviembre: dom 01 nov ▶️ Pre 🔸 dom 08 nov ▶️ AMT 🔸 dom 22 nov ▶️ AMT 🔸 dom 29 nov ▶️ Pre 🔸  

"
2026-2,Carmen de Viboral,Ruralidad y Paz,2026-2,2043005-30,Pedagogías desde la Diversidad Cultural,D7-15,"📅Agosto: dom 23 ago ▶️ Pre 🔸 dom 30 ago ▶️ AMT 🔸  

📅Septiembre: dom 20 sept ▶️ Pre 🔸 dom 27 sept ▶️ AMT 🔸  

📅Octubre: dom 18 oct ▶️ Pre 🔸 dom 25 oct ▶️ AMT 🔸  

📅Noviembre: dom 15 nov ▶️ Pre 🔸 dom 22 nov ▶️ AMT 🔸 dom 29 nov ▶️ AMT 🔸  

"
2026-2,Carmen de Viboral,Especial,2026-2,2018010-30,"Relaciones entre desarrollo, educación y aprendizaje I",W11-15 -  - L11-15,"📅Agosto: mié 05 ago ▶️  🔸 mié 12 ago ▶️  🔸 mié 19 ago ▶️  🔸 mié 26 ago ▶️  🔸 lun 10 ago ▶️ AMT 🔸  

📅Septiembre: mié 02 sept ▶️  🔸 mié 09 sept ▶️  🔸 mié 16 sept ▶️  🔸 mié 23 sept ▶️ AMT 🔸 mié 30 sept ▶️  🔸  

📅Octubre: mié 07 oct ▶️  🔸 mié 14 oct ▶️  🔸 mié 21 oct ▶️  🔸 mié 28 oct ▶️ AMT 🔸  

📅Noviembre: mié 04 nov ▶️  🔸 mié 11 nov ▶️  🔸 mié 18 nov ▶️ ATM 🔸 mié 25 nov ▶️  🔸  

"
2026-2,Carmen de Viboral,Especial,2026-2,2018014-30,Práctica pedagógica I,M11-15,"📅Agosto: mar 04 ago ▶️  🔸 mar 11 ago ▶️  🔸 mar 18 ago ▶️  🔸 mar 25 ago ▶️ AMT 🔸  

📅Septiembre: mar 01 sept ▶️  🔸 mar 08 sept ▶️  🔸 mar 15 sept ▶️  🔸 mar 22 sept ▶️ AMT 🔸 mar 29 sept ▶️  🔸  

📅Octubre: mar 06 oct ▶️  🔸 mar 13 oct ▶️  🔸 mar 20 oct ▶️  🔸 mar 27 oct ▶️ AMT 🔸  

📅Noviembre: mar 03 nov ▶️  🔸 mar 10 nov ▶️  🔸 mar 17 nov ▶️ ATM 🔸 mar 24 nov ▶️  🔸  

"
2026-2,Carmen de Viboral,Especial,2026-2,2059006-31,Políticas Públicas y Legislación Educativa,J15-19 -  - W15-19,"📅Agosto: jue 06 ago ▶️  🔸 jue 13 ago ▶️  🔸 jue 20 ago ▶️  🔸 jue 27 ago ▶️  🔸 mié 12 ago ▶️ ATM 🔸  

📅Septiembre: jue 03 sept ▶️  🔸 jue 10 sept ▶️  🔸 jue 17 sept ▶️ AMT 🔸 jue 24 sept ▶️  🔸  

📅Octubre: jue 01 oct ▶️  🔸 jue 08 oct ▶️  🔸 jue 15 oct ▶️  🔸 jue 22 oct ▶️  🔸 jue 29 oct ▶️ AMT 🔸  

📅Noviembre: jue 05 nov ▶️  🔸 jue 12 nov ▶️  🔸 jue 19 nov ▶️ ATM 🔸 jue 26 nov ▶️  🔸  

"
2026-2,Carmen de Viboral,Especial,2026-2,2018011-30,Historia y tradiciones de la educación especial,J11-15,"📅Agosto: jue 06 ago ▶️  🔸 jue 13 ago ▶️  🔸 jue 20 ago ▶️ AMT 🔸 jue 27 ago ▶️  🔸  

📅Septiembre: jue 03 sept ▶️  🔸 jue 10 sept ▶️ AMT 🔸 jue 17 sept ▶️  🔸 jue 24 sept ▶️  🔸  

📅Octubre: jue 01 oct ▶️ AMT 🔸 jue 08 oct ▶️  🔸 jue 15 oct ▶️ AMT 🔸 jue 22 oct ▶️  🔸 jue 29 oct ▶️  🔸  

📅Noviembre: jue 05 nov ▶️ AMT 🔸  

"
2026-2,Carmen de Viboral,Especial,2026-2,2059004-30,"Historia, imágenes y concepciones de maestro.",M15-19 -  - W15-19,"📅Agosto: mar 04 ago ▶️  🔸 mar 11 ago ▶️  🔸 mar 18 ago ▶️  🔸 mar 25 ago ▶️  🔸 mié 05 ago ▶️ ATM 🔸  

📅Septiembre: mar 01 sept ▶️  🔸 mar 08 sept ▶️  🔸 mar 15 sept ▶️  🔸 mar 22 sept ▶️ AMT 🔸 mar 29 sept ▶️  🔸  

📅Octubre: mar 06 oct ▶️  🔸 mar 13 oct ▶️  🔸 mar 20 oct ▶️  🔸 mar 27 oct ▶️ AMT 🔸  

📅Noviembre: mar 03 nov ▶️  🔸 mar 10 nov ▶️  🔸 mar 17 nov ▶️ AMT 🔸 mar 24 nov ▶️  🔸  

"
2026-2,Carmen de Viboral,Especial,2026-1,2018025-30,"Relaciones entre desarrollo, educación y aprendizaje II",M11-15,"📅Agosto: mar 04 ago ▶️  🔸 mar 11 ago ▶️  🔸 mar 18 ago ▶️ AMT 🔸 mar 25 ago ▶️  🔸  

📅Septiembre: mar 01 sept ▶️  🔸 mar 08 sept ▶️ AMT 🔸 mar 15 sept ▶️  🔸 mar 22 sept ▶️ AMT 🔸 mar 29 sept ▶️  🔸  

📅Octubre: mar 06 oct ▶️  🔸 mar 13 oct ▶️ AMT 🔸 mar 20 oct ▶️  🔸 mar 27 oct ▶️  🔸  

📅Noviembre: mar 03 nov ▶️ AMT 🔸  

"
2026-2,Carmen de Viboral,Matemáticas,2026-1,2059007-31,"Didácticas, saberes y evaluación",J11-15 -  - M11-15,"📅Agosto: jue 06 ago ▶️  🔸 jue 13 ago ▶️  🔸 jue 20 ago ▶️  🔸 jue 27 ago ▶️  🔸 mar 11 ago ▶️ ATM 🔸  

📅Septiembre: jue 03 sept ▶️  🔸 jue 10 sept ▶️  🔸 jue 17 sept ▶️ AMT 🔸 jue 24 sept ▶️  🔸  

📅Octubre: jue 01 oct ▶️  🔸 jue 08 oct ▶️  🔸 jue 15 oct ▶️  🔸 jue 22 oct ▶️ AMT 🔸 jue 29 oct ▶️  🔸  

📅Noviembre: jue 05 nov ▶️  🔸 jue 12 nov ▶️  🔸 jue 19 nov ▶️ ATM 🔸 jue 26 nov ▶️  🔸  

"
2026-2,Carmen de Viboral,Especial,2026-1,2018021-30,Lengua castellana y su didáctica,J11-15 -  - M7-11,"📅Agosto: jue 06 ago ▶️  🔸 jue 13 ago ▶️  🔸 jue 20 ago ▶️  🔸 jue 27 ago ▶️  🔸 mar 11 ago ▶️ ATM 🔸 mar 18 ago ▶️ ATM 🔸 mar 25 ago ▶️ ATM 🔸  

📅Septiembre: jue 03 sept ▶️  🔸 jue 10 sept ▶️  🔸 jue 17 sept ▶️  🔸 jue 24 sept ▶️  🔸 mar 01 sept ▶️ ATM 🔸  

📅Octubre: jue 01 oct ▶️  🔸 jue 08 oct ▶️  🔸 jue 15 oct ▶️  🔸 jue 22 oct ▶️  🔸 jue 29 oct ▶️  🔸  

📅Noviembre: jue 05 nov ▶️  🔸  

"
